RowDate,RowTime,TotalLoad
08/01/2023,01:00,7840.49
08/01/2023,01:15,7662.64
08/01/2023,01:30,7643.48
08/01/2023,01:45,7772.57
08/01/2023,02:00,7838.55
08/01/2023,02:15,7698.82
08/01/2023,02:30,7518.71
08/01/2023,02:45,7600.47
08/01/2023,03:00,7521.39
08/01/2023,03:15,7473.88
08/01/2023,03:30,7381.30
08/01/2023,03:45,7501.32
08/01/2023,04:00,7455.58
08/01/2023,04:15,7390.12
08/01/2023,04:30,7453.23
08/01/2023,04:45,7567.16
08/01/2023,05:00,7705.29
08/01/2023,05:15,7536.73
08/01/2023,05:30,7587.53
08/01/2023,05:45,7546.77
08/01/2023,06:00,7651.53
08/01/2023,06:15,7840.59
08/01/2023,06:30,7895.81
08/01/2023,06:45,7883.92
08/01/2023,07:00,8046.60
08/01/2023,07:15,8008.31
08/01/2023,07:30,8070.26
08/01/2023,07:45,8127.20
08/01/2023,08:00,8278.89
08/01/2023,08:15,8417.03
08/01/2023,08:30,8460.24
08/01/2023,08:45,8564.46
08/01/2023,09:00,8739.29
08/01/2023,09:15,8801.04
08/01/2023,09:30,8827.21
08/01/2023,09:45,8953.25
08/01/2023,10:00,8940.34
08/01/2023,10:15,8979.22
08/01/2023,10:30,9086.08
08/01/2023,10:45,9051.35
08/01/2023,11:00,9055.27
08/01/2023,11:15,9177.79
08/01/2023,11:30,9377.06
08/01/2023,11:45,9476.83
08/01/2023,12:00,9361.15
08/01/2023,12:15,9343.93
08/01/2023,12:30,9372.45
08/01/2023,12:45,9274.85
08/01/2023,13:00,9081.92
08/01/2023,13:15,9011.17
08/01/2023,13:30,8906.79
08/01/2023,13:45,8718.49
08/01/2023,14:00,8717.69
08/01/2023,14:15,8833.13
08/01/2023,14:30,8648.90
08/01/2023,14:45,8635.25
08/01/2023,15:00,8669.97
08/01/2023,15:15,8605.46
08/01/2023,15:30,8709.01
08/01/2023,15:45,8849.36
08/01/2023,16:00,8945.33
08/01/2023,16:15,8903.79
08/01/2023,16:30,8994.04
08/01/2023,16:45,9097.13
08/01/2023,17:00,9324.05
08/01/2023,17:15,9595.92
08/01/2023,17:30,9788.15
08/01/2023,17:45,9952.82
08/01/2023,18:00,9912.50
08/01/2023,18:15,9978.47
08/01/2023,18:30,9907.10
08/01/2023,18:45,9889.21
08/01/2023,19:00,9732.03
08/01/2023,19:15,9705.87
08/01/2023,19:30,9669.29
08/01/2023,19:45,9556.72
08/01/2023,20:00,9412.61
08/01/2023,20:15,9406.41
08/01/2023,20:30,9276.63
08/01/2023,20:45,9154.92
08/01/2023,21:00,9038.15
08/01/2023,21:15,8971.45
08/01/2023,21:30,8891.81
08/01/2023,21:45,8826.77
08/01/2023,22:00,8803.01
08/01/2023,22:15,8942.81
08/01/2023,22:30,8943.92
08/01/2023,22:45,8950.76
08/01/2023,23:00,8940.96
08/01/2023,23:15,8875.32
08/01/2023,23:30,8812.86
08/01/2023,23:45,8710.80
08/01/2023,02:00*,
08/01/2023,02:15*,
08/01/2023,02:30*,
08/01/2023,02:45*,
09/01/2023,00:00,8472.05
09/01/2023,00:15,8388.77
09/01/2023,00:30,8175.32
09/01/2023,00:45,8114.61
09/01/2023,01:00,8022.06
09/01/2023,01:15,8043.89
09/01/2023,01:30,8014.48
09/01/2023,01:45,8083.99
09/01/2023,02:00,7918.30
09/01/2023,02:15,7909.23
09/01/2023,02:30,7655.82
09/01/2023,02:45,7813.62
09/01/2023,03:00,7768.31
09/01/2023,03:15,7778.67
09/01/2023,03:30,7776.87
09/01/2023,03:45,7882.48
09/01/2023,04:00,7733.77
09/01/2023,04:15,7670.90
09/01/2023,04:30,7742.58
09/01/2023,04:45,7797.57
09/01/2023,05:00,7935.09
09/01/2023,05:15,8053.17
09/01/2023,05:30,8274.42
09/01/2023,05:45,8439.03
09/01/2023,06:00,9014.38
09/01/2023,06:15,9277.26
09/01/2023,06:30,9422.43
09/01/2023,06:45,9678.03
09/01/2023,07:00,9961.96
09/01/2023,07:15,10188.27
09/01/2023,07:30,10404.84
09/01/2023,07:45,10503.97
09/01/2023,08:00,10849.52
09/01/2023,08:15,10890.80
09/01/2023,08:30,10985.71
09/01/2023,08:45,10947.52
09/01/2023,09:00,11057.80
09/01/2023,09:15,11110.70
09/01/2023,09:30,11231.62
09/01/2023,09:45,11222.27
09/01/2023,10:00,11143.54
09/01/2023,10:15,11169.07
09/01/2023,10:30,11227.15
09/01/2023,10:45,11251.67
09/01/2023,11:00,11370.10
09/01/2023,11:15,11372.40
09/01/2023,11:30,11353.98
09/01/2023,11:45,11284.08
09/01/2023,12:00,11257.52
09/01/2023,12:15,11247.11
09/01/2023,12:30,11257.00
09/01/2023,12:45,11190.53
09/01/2023,13:00,11051.52
09/01/2023,13:15,11143.71
09/01/2023,13:30,11118.50
09/01/2023,13:45,10861.85
09/01/2023,14:00,10741.99
09/01/2023,14:15,10808.68
09/01/2023,14:30,10842.81
09/01/2023,14:45,10868.37
09/01/2023,15:00,10920.53
09/01/2023,15:15,10826.87
09/01/2023,15:30,10798.72
09/01/2023,15:45,10798.79
09/01/2023,16:00,10925.98
09/01/2023,16:15,11020.08
09/01/2023,16:30,11122.34
09/01/2023,16:45,11108.66
09/01/2023,17:00,11327.83
09/01/2023,17:15,11486.83
09/01/2023,17:30,11716.96
09/01/2023,17:45,11824.10
09/01/2023,18:00,11826.55
09/01/2023,18:15,11766.16
09/01/2023,18:30,11637.62
